DateTime,CCA 6th Fl Ocean Blvd and Hart AGL,SCSB_46,WindhamAQ
10/18/23 0:00,1134,1217,1154
10/19/23 0:00,1048,1196,1090
10/20/23 0:00,787,920,834
10/21/23 0:00,534,694,525
10/22/23 0:00,315,428,343
10/23/23 0:00,364,467,414
10/24/23 0:00,418,589,457
10/25/23 0:00,860,623,558
10/26/23 0:00,451,627,544
10/27/23 0:00,540,727,656
10/28/23 0:00,682,776,740
10/29/23 0:00,460,589,498
10/30/23 0:00,324,506,462
10/31/23 0:00,395,617,510
11/1/23 0:00,387,507,435
11/2/23 0:00,597,747,522
11/3/23 0:00,911,1048,951
11/4/23 0:00,936,1103,852
11/5/23 0:00,1132,1266,851
11/6/23 0:00,843,973,937
11/7/23 0:00,335,702,386
11/8/23 0:00,467,625,559
11/9/23 0:00,416,575,546
11/10/23 0:00,681,865,804
11/11/23 0:00,851,612,932
11/12/23 0:00,644,813,790
11/13/23 0:00,860,1016,956
11/14/23 0:00,919,1131,768
11/15/23 0:00,310,968,903
11/16/23 0:00,642,744,702
11/17/23 0:00,800,1004,906
11/18/23 0:00,366,475,449
