DateTime,Max's House,Building 9
10/18/23 0:00,1015,405
10/19/23 0:00,895,835
10/20/23 0:00,895,830
10/21/23 0:00,655,725
10/22/23 0:00,440,470
10/23/23 0:00,440,445
10/24/23 0:00,630,305
10/25/23 0:00,590,655
10/26/23 0:00,345,635
10/27/23 0:00,645,710
10/28/23 0:00,455,730
10/29/23 0:00,315,415
10/30/23 0:00,320,360
10/31/23 0:00,380,390
11/1/23 0:00,385,400
11/2/23 0:00,845,680
11/3/23 0:00,795,815
11/4/23 0:00,665,1135
11/5/23 0:00,1040,980
11/6/23 0:00,605,750
11/7/23 0:00,395,230
11/8/23 0:00,290,305
11/9/23 0:00,450,250
11/10/23 0:00,525,525
11/11/23 0:00,760,730
11/12/23 0:00,595,435
11/13/23 0:00,920,655
11/14/23 0:00,745,670
11/15/23 0:00,595,490
11/16/23 0:00,675,660
11/17/23 0:00,770,520
11/18/23 0:00,695,985
